11437 ,1 
437403 ,8 
163558 ,2 
653083 ,11 
63617 ,1 
348990 ,8 
50642 ,1 
739865 ,24 
28649 ,1 
607200 ,16 
134639 ,3 
184510 ,5 
174061 ,3 
28510 ,2 
108622 ,2 
259698 ,7 
114572 ,2 
487559 ,9 
875003 ,22 
5205 ,1 
550934 ,11 
29739 ,1 
338393 ,7 
103802 ,2 
57047 ,2 
160776 ,3 
223652 ,5 
119802 ,2 
12362 ,1 
22242 ,1 
48941 ,1 
63156 ,2 
125893 ,1 
102028 ,2 
356519 ,7 
247666 ,6 
200249 ,4 
83242 ,2 
95719 ,2 
142938 ,4 
129089 ,2 
44768 ,2 
226995 ,3 
631634 ,10 
151329 ,2 
22735 ,1 
128966 ,1 
108243 ,1 
0 ,0 
53414 ,2 
21773 ,1 
640235 ,12 
659980 ,15 
420490 ,8 
25797 ,1 
1077571 ,28 
12965 ,1 
105859 ,3 
305149 ,8 
324208 ,5 
1024343, 24
25640, 1
17311, 1
173257, 4
89982, 3
113384, 1
53736, 2
1375924, 35
361607, 6
63485, 1
23805, 1
17732, 1
171118, 3
31747, 1
262811, 4
1018076, 26
335667, 7
89783, 3
7081, 1
63373, 1
210691, 4
280317, 4
80098, 2
10504, 1
18967, 2
154913, 4
362138, 10
214486, 4
293056, 5
86428, 2
800536, 18
241101, 5
149619, 4
324186, 8
199071, 3
22533, 1
334405, 9
15404, 1
112372, 2
